"National
Dex","Pokemon
Name",Classification,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,"Evolution
Method"
200,Misdreavus,,60,60,60,85,85,85,435,Ghost,,Levitate,,,Dusk Stone
201,Unown,,48,72,48,72,48,48,336,Psychic,,Levitate,,,
202,Wobbuffet,,190,33,58,33,58,33,405,Psychic,,Shadow Tag,,Telepathy,
203,Girafarig,,70,80,65,90,65,85,455,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,Level Up (Knowing Twin Beam)
204,Pineco,,50,65,90,35,35,15,290,Bug,,Sturdy,,Overcoat,Lv. 31
205,Forretress,,75,90,140,60,60,40,465,Bug,Steel,Sturdy,,Overcoat,
206,Dunsparce,,100,70,70,65,65,45,415,Normal,,Serene Grace,Run Away,Rattled,Level Up (Knowing Hyper Drill)
207,Gligar,,65,75,105,35,65,85,430,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,"Level Up (Holding Razor Fang, Night)"
208,Steelix,,75,85,200,55,65,30,510,Steel,Ground,Rock Head,Sturdy,Sheer Force,
208.1,Steelix (Mega),Mega Evolution,75,125,230,55,95,30,610,Steel,Ground,Sand Force,,,
209,Snubbull,,60,80,50,40,40,30,300,Fairy,,Intimidate,Run Away,Rattled,Lv. 23
210,Granbull,,90,120,75,60,60,45,450,Fairy,,Intimidate,Quick Feet,Rattled,
211,Qwilfish,,65,95,85,55,55,85,440,Water,Poison,Poison Point,Swift Swim,Intimidate,
211.1,Qwilfish (Hisuian),Hisuian Form,65,95,85,55,55,85,440,Dark,Poison,Poison Point,Swift Swim,Intimidate,Use Strong Style Barb Barrage 20 Times
212,Scizor,,70,130,100,55,80,65,500,Bug,Steel,Swarm,Technician,Light Metal,
212.1,Scizor (Mega),Mega Evolution,70,150,140,65,100,75,600,Bug,Steel,Technician,,,
213,Shuckle,,20,10,230,10,230,5,505,Bug,Rock,Sturdy,Gluttony,Contrary,
214,Heracross,,80,125,75,40,95,85,500,Bug,Fighting,Swarm,Guts,Moxie,
214.1,Heracross (Mega),Mega Evolution,80,185,115,40,105,75,600,Bug,Fighting,Skill Link,,,
215,Sneasel,,55,95,55,35,75,115,430,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,"Level Up (Holding Razor Claw, Night)"
215.1,Sneasel (Hisuian),Hisuian Form,55,95,55,35,75,115,430,Fighting,Poison,Inner Focus,Keen Eye,Pickpocket,Level Up (Holding Razor Claw During Day)
216,Teddiursa,,60,80,50,50,50,40,330,Normal,,Pickup,Quick Feet,Honey Gather,Lv. 30
217,Ursaring,,90,130,75,75,75,55,500,Normal,,Guts,Quick Feet,Unnerve,Peat Block (During Full Moon)
218,Slugma,,40,40,40,70,40,20,250,Fire,,Magma Armor,Flame Body,Weak Armor,Lv. 38
219,Magcargo,,60,50,120,90,80,30,430,Fire,Rock,Magma Armor,Flame Body,Weak Armor,
220,Swinub,,50,50,40,30,30,50,250,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Lv. 33
221,Piloswine,,100,100,80,60,60,50,450,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,Level Up (Knowing Ancient Power)
222,Corsola,,65,55,95,65,95,35,410,Water,Rock,Hustle,Natural Cure,Regenerator,
222.1,Corsola (Galarian),Galarian Form,60,55,100,65,100,30,410,Ghost,,Weak Armor,,Cursed Body,Lv. 38
223,Remoraid,,35,65,35,65,35,65,300,Water,,Hustle,Sniper,Moody,Lv. 25
224,Octillery,,75,105,75,105,75,45,480,Water,,Suction Cups,Sniper,Moody,
225,Delibird,,45,55,45,65,45,75,330,Ice,Flying,Vital Spirit,Hustle,Insomnia,
226,Mantine,,85,40,70,80,140,70,485,Water,Flying,Swift Swim,Water Absorb,Water Veil,
227,Skarmory,,65,80,140,40,70,70,465,Steel,Flying,Keen Eye,Sturdy,Weak Armor,
228,Houndour,,45,60,30,80,50,65,330,Dark,Fire,Early Bird,Flash Fire,Unnerve,Lv. 24
229,Houndoom,,75,90,50,110,80,95,500,Dark,Fire,Early Bird,Flash Fire,Unnerve,
229.1,Houndoom (Mega),Mega Evolution,75,90,90,140,90,115,600,Dark,Fire,Solar Power,,,
230,Kingdra,,75,95,95,95,95,85,540,Water,Dragon,Swift Swim,Sniper,Damp,
231,Phanpy,,90,60,60,40,40,40,330,Ground,,Pickup,,Sand Veil,Lv. 25
232,Donphan,,90,120,120,60,60,50,500,Ground,,Sturdy,,Sand Veil,
233,Porygon2,,85,80,90,105,95,60,515,Normal,,Trace,Download,Analytic,Trade (Holding Dubious Disc)
234,Stantler,,73,95,62,85,65,85,465,Normal,,Intimidate,Frisk,Sap Sipper,Use Agile Psyshield Bash 20 Times
235,Smeargle,,55,20,35,20,45,75,250,Normal,,Own Tempo,Technician,Moody,
236,Tyrogue,Baby,35,35,35,35,35,35,210,Fighting,,Guts,Steadfast,Vital Spirit,Lv. 20 (Atk>Def)/Lv. 20 (Atk<Def)/Lv. 20 (Atk=Def)
237,Hitmontop,,50,95,95,35,110,70,455,Fighting,,Intimidate,Technician,Steadfast,
238,Smoochum,Baby,45,30,15,85,65,65,305,Ice,Psychic,Oblivious,Forewarn,Hydration,Lv. 30
239,Elekid,Baby,45,63,37,65,55,95,360,Electric,,Static,,Vital Spirit,Lv. 30
240,Magby,Baby,45,75,37,70,55,83,365,Fire,,Flame Body,,Vital Spirit,Lv. 30
241,Miltank,,95,80,105,40,70,100,490,Normal,,Thick Fat,Scrappy,Sap Sipper,
242,Blissey,,255,10,10,75,135,55,540,Normal,,Natural Cure,Serene Grace,Healer,
243,Raikou,Sub-Legendary,90,85,75,115,100,115,580,Electric,,Pressure,,Inner Focus,
244,Entei,Sub-Legendary,115,115,85,90,75,100,580,Fire,,Pressure,,Inner Focus,
245,Suicune,Sub-Legendary,100,75,115,90,115,85,580,Water,,Pressure,,Inner Focus,
246,Larvitar,Pseudo Legendary,50,64,50,45,50,41,300,Rock,Ground,Guts,,Sand Veil,Lv. 30
247,Pupitar,Pseudo Legendary,70,84,70,65,70,51,410,Rock,Ground,Shed Skin,,,Lv. 55
248,Tyranitar,Pseudo Legendary,100,134,110,95,100,61,600,Rock,Dark,Sand Stream,,Unnerve,
248.1,Tyranitar (Mega),"Psuedo Legendary, Mega Evolution",100,164,150,95,120,71,700,Rock,Dark,Sand Stream,,,
249,Lugia,Legendary,106,90,130,90,154,110,680,Psychic,Flying,Pressure,,Multiscale,
250,Ho-oh,Legendary,106,130,90,110,154,90,680,Fire,Flying,Pressure,,Regenerator,
251,Celebi,Mythical,100,100,100,100,100,100,600,Psychic,Grass,Natural Cure,,,
252,Treecko,Starter,40,45,35,65,55,70,310,Grass,,Overgrow,,Unburden,Lv. 16
253,Grovyle,Starter,50,65,45,85,65,95,405,Grass,,Overgrow,,Unburden,Lv. 36
254,Sceptile,Starter,70,85,65,105,85,120,530,Grass,,Overgrow,,Unburden,
254.1,Sceptile (Mega),"Starter, Mega Evolution",70,110,75,145,85,145,630,Grass,Dragon,Lightningrod,,,
255,Torchic,Starter,45,60,40,70,50,45,310,Fire,,Blaze,,Speed Boost,Lv. 16
256,Combusken,Starter,60,85,60,85,60,55,405,Fire,Fighting,Blaze,,Speed Boost,Lv. 36
257,Blaziken,Starter,80,120,70,110,70,80,530,Fire,Fighting,Blaze,,Speed Boost,
257.1,Blaziken (Mega),"Starter, Mega Evolution",80,160,80,130,80,100,630,Fire,Fighting,Speed Boost,,,
258,Mudkip,Starter,50,70,50,50,50,40,310,Water,,Torrent,,Damp,Lv. 16
259,Marshtomp,Starter,70,85,70,60,70,50,405,Water,Ground,Torrent,,Damp,Lv. 36
260,Swampert,Starter,100,110,90,85,90,60,535,Water,Ground,Torrent,,Damp,
260.1,Swampert (Mega),"Starter, Mega Evolution",100,150,110,95,110,70,635,Water,Ground,Swift Swim,,,
261,Poochyena,,35,55,35,30,30,35,220,Dark,,Run Away,Quick Feet,Rattled,Lv. 18
262,Mightyena,,70,90,70,60,60,70,420,Dark,,Intimidate,Quick Feet,Moxie,
263,Zigzagoon,,38,30,41,30,41,60,240,Normal,,Pickup,Gluttony,Quick Feet,Lv. 20
263.1,Zigzagoon (Galarian),Galarian Form,38,30,41,30,41,60,240,Dark,Normal,Pickup,Gluttony,Quick Feet,Lv. 20
264,Linoone,,78,70,61,50,61,100,420,Normal,,Pickup,Gluttony,Quick Feet,
264.1,Linoone (Galarian),Galarian Form,78,70,61,50,61,100,420,Dark,Normal,Pickup,Gluttony,Quick Feet,Lv. 35 (Night)
265,Wurmple,,45,45,35,20,30,20,195,Bug,,Shield Dust,,Run Away,Lv. 7
266,Silcoon,,50,35,55,25,25,15,205,Bug,,Shed Skin,,,Lv. 10
267,Beautifly,,60,70,50,100,50,65,395,Bug,Flying,Swarm,,Rivalry,
268,Cascoon,,50,35,55,25,25,15,205,Bug,,Shed Skin,,,Lv. 10
269,Dustox,,60,50,70,50,90,65,385,Bug,Poison,Shield Dust,,Compoundeyes,
270,Lotad,,40,30,30,40,50,30,220,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Lv. 14
271,Lombre,,60,50,50,60,70,50,340,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Water Stone
272,Ludicolo,,80,70,70,90,100,70,480,Water,Grass,Swift Swim,Rain Dish,Own Tempo,
273,Seedot,,40,40,50,30,30,30,220,Grass,,Chlorophyll,Early Bird,Pickpocket,Lv. 14
274,Nuzleaf,,70,70,40,60,40,60,340,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Leaf Stone
275,Shiftry,,90,100,60,90,60,80,480,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,
276,Taillow,,40,55,30,30,30,85,270,Normal,Flying,Guts,,Scrappy,Lv. 22
277,Swellow,,60,85,60,75,50,125,455,Normal,Flying,Guts,,Scrappy,
278,Wingull,,40,30,30,55,30,85,270,Water,Flying,Keen Eye,Hydration,Rain Dish,Lv. 25
279,Pelipper,,60,50,100,95,70,65,440,Water,Flying,Keen Eye,Drizzle,Rain Dish,
280,Ralts,,28,25,25,45,35,40,198,Psychic,Fairy,Synchronize,Trace,Telepathy,Lv. 20
281,Kirlia,,38,35,35,65,55,50,278,Psychic,Fairy,Synchronize,Trace,Telepathy,Lv. 30/Dawn Stone (Male)
282,Gardevoir,,68,65,65,125,115,80,518,Psychic,Fairy,Synchronize,Trace,Telepathy,
282.1,Gardevoir (Mega),Mega Evolution,68,85,65,165,135,100,618,Psychic,Fairy,Pixilate,,,
283,Surskit,,40,30,32,50,52,65,269,Bug,Water,Swift Swim,,Rain Dish,Lv. 22
284,Masquerain,,70,60,62,100,82,80,454,Bug,Flying,Intimidate,,Unnerve,
285,Shroomish,,60,40,60,40,60,35,295,Grass,,Effect Spore,Poison Heal,Quick Feet,Lv. 23
286,Breloom,,60,130,80,60,60,70,460,Grass,Fighting,Effect Spore,Poison Heal,Technician,
287,Slakoth,,60,60,60,35,35,30,280,Normal,,Truant,,,Lv. 18
288,Vigoroth,,80,80,80,55,55,90,440,Normal,,Vital Spirit,,,Lv. 36
289,Slaking,,150,160,100,95,65,100,670,Normal,,Truant,,,
290,Nincada,,31,45,90,30,30,40,266,Bug,Ground,Compoundeyes,,Run Away,Lv. 20/Lv. 20 (Empty Party Slot)
291,Ninjask,,61,90,45,50,50,160,456,Bug,Flying,Speed Boost,,Infiltrator,
292,Shedinja,,1,90,45,30,30,40,236,Bug,Ghost,Wonder Guard,,,
293,Whismur,,64,51,23,51,23,28,240,Normal,,Soundproof,,Rattled,Lv. 20
294,Loudred,,84,71,43,71,43,48,360,Normal,,Soundproof,,Scrappy,Lv. 40
295,Exploud,,104,91,63,91,73,68,490,Normal,,Soundproof,,Scrappy,
296,Makuhita,,72,60,30,20,30,25,237,Fighting,,Thick Fat,Guts,Sheer Force,Lv. 24
297,Hariyama,,144,120,60,40,60,50,474,Fighting,,Thick Fat,Guts,Sheer Force,
298,Azurill,Baby,50,20,40,20,40,20,190,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Friendship
299,Nosepass,,30,45,135,45,90,30,375,Rock,,Sturdy,Magnet Pull,Sand Force,Thunder Stone
300,Skitty,,50,45,45,35,35,50,260,Normal,,Cute Charm,Normalize,Wonder Skin,Moon Stone
301,Delcatty,,70,65,65,55,55,90,400,Normal,,Cute Charm,Normalize,Wonder Skin,
302,Sableye,,50,75,75,65,65,50,380,Dark,Ghost,Keen Eye,Stall,Prankster,
302.1,Sableye (Mega),Mega Evolution,50,85,125,85,115,20,480,Dark,Ghost,Magic Bounce,,,
303,Mawile,,50,85,85,55,55,50,380,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,
303.1,Mawile (Mega),Mega Evolution,50,105,125,55,95,50,480,Steel,Fairy,Huge Power,,,
304,Aron,,50,70,100,40,40,30,330,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Lv. 32
305,Lairon,,60,90,140,50,50,40,430,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Lv. 42
306,Aggron,,70,110,180,60,60,50,530,Steel,Rock,Sturdy,Rock Head,Heavy Metal,
306.1,Aggron (Mega),Mega Evolution,70,140,230,60,80,50,630,Steel,,Filter,,,
307,Meditite,,30,40,55,40,55,60,280,Fighting,Psychic,Pure Power,,Telepathy,Lv. 37
308,Medicham,,60,60,75,60,75,80,410,Fighting,Psychic,Pure Power,,Telepathy,
308.1,Medicham (Mega),Mega Evolution,60,100,85,80,85,100,510,Fighting,Psychic,Pure Power,,,
309,Electrike,,40,45,40,65,40,65,295,Electric,,Static,Lightningrod,Minus,Lv. 26
310,Manectric,,70,75,60,105,60,105,475,Electric,,Static,Lightningrod,Minus,
310.1,Manetric (Mega),Mega Evolution,70,75,80,135,80,135,575,Electric,,Intimidate,,,
311,Plusle,,60,50,40,85,75,95,405,Electric,,Plus,,,
312,Minun,,60,40,50,75,85,95,405,Electric,,Minus,,,
313,Volbeat,,65,73,75,47,85,85,430,Bug,,Illuminate,Swarm,Prankster,
314,Illumise,,65,47,75,73,85,85,430,Bug,,Oblivious,Tinted Lens,Prankster,
315,Roselia,,50,60,45,100,80,65,400,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Shiny Stone
316,Gulpin,,70,43,53,43,53,40,302,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Lv. 26
317,Swalot,,100,73,83,73,83,55,467,Poison,,Liquid Ooze,Sticky Hold,Gluttony,
318,Carvanha,,45,90,20,65,20,65,305,Water,Dark,Rough Skin,,Speed Boost,Lv. 30
319,Sharpedo,,70,120,40,95,40,95,460,Water,Dark,Rough Skin,,Speed Boost,
319.1,Sharpedo (Mega),Mega Evolution,70,140,70,110,65,105,560,Water,Dark,Strong Jaw,,,
320,Wailmer,,130,70,35,70,35,60,400,Water,,Water Veil,Oblivious,Pressure,Lv. 40
321,Wailord,,170,90,45,90,45,60,500,Water,,Water Veil,Oblivious,Pressure,
322,Numel,,60,60,40,65,45,35,305,Fire,Ground,Oblivious,Simple,Own Tempo,Lv. 33
323,Camerupt,,70,100,70,105,75,40,460,Fire,Ground,Magma Armor,Solid Rock,Anger Point,
323.1,Camerupt (Mega),Mega Evolution,70,120,100,145,105,20,560,Fire,Ground,Sheer Force,,,
324,Torkoal,,70,85,140,85,70,20,470,Fire,,White Smoke,Drought,Shell Armor,
325,Spoink,,60,25,35,70,80,60,330,Psychic,,Thick Fat,Own Tempo,Gluttony,Lv. 32
326,Grumpig,,80,45,65,90,110,80,470,Psychic,,Thick Fat,Own Tempo,Gluttony,
327,Spinda,,60,60,60,60,60,60,360,Normal,,Own Tempo,Tangled Feet,Contrary,
328,Trapinch,,45,100,45,45,45,10,290,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Lv. 35
329,Vibrava,,50,70,50,50,50,70,340,Ground,Dragon,Levitate,,,Lv. 45
330,Flygon,,80,100,80,80,80,100,520,Ground,Dragon,Levitate,,,
331,Cacnea,,50,85,40,85,40,35,335,Grass,,Sand Veil,,Water Absorb,Lv. 32
332,Cacturne,,70,115,60,115,60,55,475,Grass,Dark,Sand Veil,,Water Absorb,
333,Swablu,,45,40,60,40,75,50,310,Normal,Flying,Natural Cure,,Cloud Nine,Lv. 35
334,Altaria,,75,70,90,70,105,80,490,Dragon,Flying,Natural Cure,,Cloud Nine,
334.1,Altaria (Mega),Mega Evolution,75,110,110,110,105,80,590,Dragon,Fairy,Pixilate,,,
335,Zangoose,,73,115,60,60,60,90,458,Normal,,Immunity,,Poison Rampage,
336,Seviper,,73,100,60,100,60,65,458,Poison,,Shed Skin,,Infiltrator,
337,Lunatone,,90,55,65,95,85,70,460,Rock,Psychic,Levitate,,,
338,Solrock,,90,95,85,55,65,70,460,Rock,Psychic,Levitate,,,
339,Barboach,,50,48,43,46,41,60,288,Water,Ground,Oblivious,Anticipation,Hydration,Lv. 30
340,Whiscash,,110,78,73,76,71,60,468,Water,Ground,Oblivious,Anticipation,Hydration,
341,Corphish,,43,80,65,50,35,35,308,Water,,Hyper Cutter,Shell Armor,Adaptability,Lv. 30
342,Crawdaunt,,63,120,85,90,55,55,468,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,
343,Baltoy,,40,40,55,40,70,55,300,Ground,Psychic,Levitate,,,Lv. 36
344,Claydol,,60,70,105,70,120,75,500,Ground,Psychic,Levitate,,,
345,Lileep,Fossil,66,41,77,61,87,23,355,Rock,Grass,Suction Cups,,Storm Drain,Lv. 40
346,Cradily,Fossil,86,81,97,81,107,43,495,Rock,Grass,Suction Cups,,Storm Drain,
347,Anorith,Fossil,45,95,50,40,50,75,355,Rock,Bug,Battle Armor,,Swift Swim,Lv. 40
348,Armaldo,Fossil,75,125,100,70,80,45,495,Rock,Bug,Battle Armor,,Swift Swim,
349,Feebas,,20,15,20,10,55,80,200,Water,,Swift Swim,,Adaptability,Trade (Holding Prism Scale)
350,Milotic,,95,60,79,100,125,81,540,Water,,Marvel Scale,Competitive,Cute Charm,
351,Castform (Normal),,70,70,70,70,70,70,420,Normal,,Forecast,,,
351.1,Castform (Rainy),,70,70,70,70,70,70,420,Water,,Forecast,,,
351.2,Castform (Snowy),,70,70,70,70,70,70,420,Ice,,Forecast,,,
351.3,Castform (Sunny),,70,70,70,70,70,70,420,Fire,,Forecast,,,
352,Kecleon,,60,90,70,60,120,40,440,Normal,,Color Change,,,
353,Shuppet,,44,75,35,63,33,45,295,Ghost,,Insomnia,Frisk,Cursed Body,Lv. 37
354,Banette,,64,115,65,83,63,65,455,Ghost,,Insomnia,Frisk,Cursed Body,
354.1,Banette (Mega),Mega Evolution,64,165,75,93,83,75,555,Ghost,,Prankster,,,
355,Duskull,,20,40,90,30,90,25,295,Ghost,,Levitate,,,Lv. 37
356,Dusclops,,40,70,130,60,130,25,455,Ghost,,Pressure,,,Trade (Holding Reaper Cloth)
357,Tropius,,99,68,83,72,87,51,460,Grass,Flying,Chlorophyll,Solar Power,Harvest,
358,Chimecho,,75,50,89,95,90,65,464,Psychic,,Levitate,,,
359,Absol,,65,130,60,75,60,75,465,Dark,,Pressure,Super Luck,Justified,
359.1,Absol (Mega),Mega Evolution,65,150,60,115,60,115,565,Dark,,Magic Bounce,,,
360,Wynaut,Baby,95,23,48,23,48,23,260,Psychic,,Shadow Tag,,Telepathy,Lv. 15
361,Snorunt,,50,50,50,50,50,50,300,Ice,,Inner Focus,Ice Body,Moody,Lv. 42/Dawn Stone (Female)
362,Glalie,,80,80,80,80,80,80,480,Ice,,Inner Focus,Ice Body,Moody,
362.1,Glalie (Mega),Mega Evolution,80,120,80,120,80,100,580,Ice,,Refrigerate,,,
363,Spheal,,70,40,50,55,50,25,290,Ice,Water,Thick Fat,Ice Body,Oblivious,Lv. 32
364,Sealeo,,90,60,70,75,70,45,410,Ice,Water,Thick Fat,Ice Body,Oblivious,Lv. 44
365,Walrein,,110,80,90,95,90,65,530,Ice,Water,Thick Fat,Ice Body,Oblivious,
366,Clamperl,,35,64,85,74,55,32,345,Water,,Shell Armor,,Rattled,Trade (Holding Deep Sea Tooth)/Trade (Holding Deep Sea Scale)
367,Huntail,,55,104,105,94,75,52,485,Water,,Swift Swim,,Water Veil,
368,Gorebyss,,55,84,105,114,75,52,485,Water,,Swift Swim,,Hydration,
369,Relicanth,,100,90,130,45,65,55,485,Water,Rock,Swift Swim,Rock Head,Sturdy,
370,Luvdisc,,43,30,55,40,65,97,330,Water,,Swift Swim,,Hydration,
371,Bagon,Pseudo Legendary,45,75,60,40,30,50,300,Dragon,,Rock Head,,Sheer Force,Lv. 30
372,Shelgon,Pseudo Legendary,65,95,100,60,50,50,420,Dragon,,Rock Head,,Overcoat,Lv. 50
373,Salamence,Pseudo Legendary,95,135,80,110,80,100,600,Dragon,Flying,Intimidate,,Moxie,
373.1,Salamence (Mega),"Psuedo Legendary, Mega Evolution",95,145,130,120,90,120,700,Dragon,Flying,Aerilate,,,
374,Beldum,Pseudo Legendary,40,55,80,35,60,30,300,Steel,Psychic,Clear Body,,Light Metal,Lv. 20
375,Metang,Pseudo Legendary,60,75,100,55,80,50,420,Steel,Psychic,Clear Body,,Light Metal,Lv. 45
376,Metagross,Pseudo Legendary,80,135,130,95,90,70,600,Steel,Psychic,Clear Body,,Light Metal,
376.1,Metagross (Mega),"Psuedo Legendary, Mega Evolution",80,145,150,105,110,110,700,Steel,Psychic,Tough Claws,,,
377,Regirock,Sub-Legendary,80,100,200,50,100,50,580,Rock,,Clear Body,,Sturdy,
378,Regice,Sub-Legendary,80,50,100,100,200,50,580,Ice,,Clear Body,,Ice Body,
379,Registeel,Sub-Legendary,80,75,150,75,150,50,580,Steel,,Clear Body,,Light Metal,
380,Latias,Sub-Legendary,80,80,90,110,130,110,600,Dragon,Psychic,Levitate,,,
380.1,Latias,"Legendary, Mega Evolution",80,100,120,140,150,110,700,Dragon,Psychic,Levitate,,,
381,Latios,Sub-Legendary,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,,,
381.1,Latios,"Legendary, Mega Evolution",80,130,100,160,120,110,700,Dragon,Psychic,Levitate,,,
382,Kyogre,Legendary,100,100,90,150,140,90,670,Water,,Drizzle,,,
382.1,Kyogre (Primal),"Legendary, Primal Reversion",100,150,90,180,160,90,770,Water,,Primordial Sea,,,
383,Groudon,Legendary,100,150,140,100,90,90,670,Ground,,Drought,,,
383.1,Groudon (Primal),"Legendary, Primal Reversion",100,180,160,150,90,90,770,Ground,Fire,Desolate Land,,,
384,Rayquaza,Legendary,105,150,90,150,90,95,680,Dragon,Flying,Air Lock,,,
384.1,Rayquaza,"Legendary, Mega Evolution",105,180,100,180,100,115,780,Dragon,Flying,Delta Stream,,,
385,Jirachi,Mythical,100,100,100,100,100,100,600,Steel,Psychic,Serene Grace,,,
386,Deoxys (Normal),Mythical,50,150,50,150,50,150,600,Psychic,,Pressure,,,
386.1,Deoxys (Attack),Mythical,50,180,20,180,20,150,600,Psychic,,Pressure,,,
386.2,Deoxys (Defense),Mythical,50,70,160,70,160,90,600,Psychic,,Pressure,,,
386.3,Deoxys (Speed),Mythical,50,95,90,95,90,180,600,Psychic,,Pressure,,,
387,Turtwig,Starter,55,68,64,45,55,31,318,Grass,,Overgrow,,Shell Armor,Lv. 18
388,Grotle,Starter,75,89,85,55,65,36,405,Grass,,Overgrow,,Shell Armor,Lv. 32
389,Torterra,Starter,95,109,105,75,85,56,525,Grass,Ground,Overgrow,,Shell Armor,
390,Chimchar,Starter,44,58,44,58,44,61,309,Fire,,Blaze,,Iron Fist,Lv. 14
391,Monferno,Starter,64,78,52,78,52,81,405,Fire,Fighting,Blaze,,Iron Fist,Lv. 36
392,Infernape,Starter,76,104,71,104,71,108,534,Fire,Fighting,Blaze,,Iron Fist,
393,Piplup,Starter,53,51,53,61,56,40,314,Water,,Torrent,,Defiant,Lv. 16
394,Prinplup,Starter,64,66,68,81,76,50,405,Water,,Torrent,,Defiant,Lv. 36
395,Empoleon,Starter,84,86,88,111,101,60,530,Water,Steel,Torrent,,Defiant,
396,Starly,,40,55,30,30,30,60,245,Normal,Flying,Keen Eye,,,Lv. 14
397,Staravia,,55,75,50,40,40,80,340,Normal,Flying,Intimidate,,Reckless,Lv. 34
398,Staraptor,,85,120,70,50,60,100,485,Normal,Flying,Intimidate,,Reckless,
399,Bidoof,,59,45,40,35,40,31,250,Normal,,Simple,Unaware,Moody,Lv. 15
400,Bibarel,,79,85,60,60,71,55,410,Normal,Water,Simple,Unaware,Moody,
401,Kricketot,,37,25,41,25,41,25,194,Bug,,Shed Skin,,Run Away,Lv. 10
402,Kricketune,,77,85,51,55,51,65,384,Bug,,Swarm,,Technician,
403,Shinx,,45,65,34,40,34,45,263,Electric,,Rivalry,Intimidate,Guts,Lv. 15
404,Luxio,,60,85,49,60,49,60,363,Electric,,Rivalry,Intimidate,Guts,Lv. 30
405,Luxray,,80,120,79,95,79,70,523,Electric,,Rivalry,Intimidate,Guts,
406,Budew,Baby,40,30,35,50,70,55,280,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Friendship (Day)
407,Roserade,,60,70,65,125,105,90,515,Grass,Poison,Natural Cure,Poison Point,Technician,
408,Cranidos,Fossil,67,125,40,30,30,58,350,Rock,,Mold Breaker,,Sheer Force,Lv. 30
409,Rampardos,Fossil,97,165,60,65,50,58,495,Rock,,Mold Breaker,,Sheer Force,
410,Shieldon,Fossil,30,42,118,42,88,30,350,Rock,Steel,Sturdy,,Soundproof,Lv. 30
411,Bastiodon,Fossil,60,52,168,47,138,30,495,Rock,Steel,Sturdy,,Soundproof,
412,Burmy (Plant),,40,29,45,29,45,36,224,Bug,,Shed Skin,,Overcoat,Lv. 20 (Male)/Lv. 20 (Female)
412.1,Burmy (Sandy),,40,29,45,29,45,36,224,Bug,,Shed Skin,,Overcoat,Lv. 20 (Male)/Lv. 20 (Female)
412.2,Burmy (Trash),,40,29,45,29,45,36,224,Bug,,Shed Skin,,Overcoat,Lv. 20 (Male)/Lv. 20 (Female)
413,Wormadam (Plant),,60,59,85,79,105,36,424,Bug,Grass,Anticipation,,Overcoat,
413.1,Wormadam (Sandy),,60,79,105,59,85,36,424,Bug,Ground,Anticipation,,Overcoat,
413.2,Wormadam (Trash),,60,69,95,69,95,36,424,Bug,Steel,Anticipation,,Overcoat,
414,Mothim,,70,94,50,94,50,66,424,Bug,Flying,Swarm,,Tinted Lens,
415,Combee,,30,30,42,30,42,70,244,Bug,Flying,Honey Gather,,Hustle,Lv. 21 (Female)
416,Vespiquen,,70,80,102,80,102,40,474,Bug,Flying,Pressure,,Unnerve,
417,Pachirisu,,60,45,70,45,90,95,405,Electric,,Run Away,Pickup,Volt Absorb,
418,Buizel,,55,65,35,60,30,85,330,Water,,Swift Swim,,Water Veil,Lv. 26
419,Floatzel,,85,105,55,85,50,115,495,Water,,Swift Swim,,Water Veil,
420,Cherubi,,45,35,45,62,53,35,275,Grass,,Chlorophyll,,,Lv. 25
421,Cherrim (Overcast),,70,60,70,87,78,85,450,Grass,,Flower Gift,,,
421.1,Cherrim (Sunshine),,70,60,70,87,78,85,450,Grass,,Flower Gift,,,
422,Shellos (East),,76,48,48,57,62,34,325,Water,,Sticky Hold,Storm Drain,Sand Force,Lv. 30
422.1,Shellos (West),,76,48,48,57,62,34,325,Water,,Sticky Hold,Storm Drain,Sand Force,Lv. 30
423,Gastrodon (East),,111,83,68,92,82,39,475,Water,Ground,Sticky Hold,Storm Drain,Sand Force,
423.1,Gastrodon (West),,111,83,68,92,82,39,475,Water,Ground,Sticky Hold,Storm Drain,Sand Force,
424,Ambipom,,75,100,66,60,66,115,482,Normal,,Technician,Pickup,Skill Link,
425,Drifloon,,90,50,34,60,44,70,348,Ghost,Flying,Aftermath,Unburden,Flare Boost,Lv. 28
